./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:20.48 58 62  52  61  64  61  61  60  62  62  max: 64  average 10: 60  average total: 60
20:20.48 59 58  58  59  53  64  53  54  63  54  max: 64  average 10: 57  average total: 57
20:20.49 62 61  61  60  60  60  58  60  53  53  max: 62  average 10: 58  average total: 58
20:20.49 54 52  63  52  61  61  61  62  63  55  max: 63  average 10: 58  average total: 58
20:20.50 55 114 104 65  65  51  62  61  61  51  max: 114  average 10: 68  average total: 68
20:20.50 61 55  56  56  58  65  65  65  53  64  max: 65  average 10: 59  average total: 59
20:20.51 53 62  53  56  57  56  55  56  57  66  max: 66  average 10: 57  average total: 57
20:20.51 56 56  55  54  64  60  61  59  60  59  max: 64  average 10: 58  average total: 58
20:20.52 59 60  58  57  47  56  57  65  68  61  max: 68  average 10: 58  average total: 58
20:20.52 52 52  59  59  58  59  58  59  58  57  max: 59  average 10: 57  average total: 57
20:20.53 59 61  51  62  61  51  61  60  60  60  max: 62  average 10: 58  average total: 58
20:20.53 58 48  57  58  49  53  52  62  50  62  max: 62  average 10: 54  average total: 54
20:20.54 61 60  60  50  50  55  57  56  56  56  max: 61  average 10: 56  average total: 56
20:20.54 63 66  63  63  52  62  62  62  57  57  max: 66  average 10: 60  average total: 60
20:20.55 57 56  57  56  56  55  54  66  54  69  max: 69  average 10: 58  average total: 58
20:20.55 60 58  58  59  57  57  57  60  58  47  max: 60  average 10: 57  average total: 57
20:20.56 51 51  61  62  60  60  58  58  128 108 max: 128  average 10: 69  average total: 69
20:20.56 78 58  63  53  63  55  61  63  64  91  max: 91  average 10: 64  average total: 64
20:20.57 61 59  59  59  53  64  64  54  63  64  max: 64  average 10: 60  average total: 60
20:20.57 54 63  55  58  57  57  57  56  57  55  max: 63  average 10: 56  average total: 56 9.8KB/s(in)
20:20.58 55 65  55  64  63  62  61  57  57  58  max: 65  average 10: 59  average total: 59
