./client_epoll/client_epoll 20003 120.26.200.117 23456 50 2>>./error.log

connect to: 120.26.200.117 23456
Run UDT client loop ...
143 88  51  45  46  50  53  56  48  52  max: 143  average 10: 63  average total: 63 0KB/s(in)
20:21.7 45  50  46  51  51  58  50  57  48  51  max: 58  average 10: 50  average total: 60
20:21.8 52  45  53  56  48  52  45  49  56  46  max: 56  average 10: 50  average total: 60
20:21.9 53  47  50  58  49  50  51  52  47  60  max: 60  average 10: 51  average total: 60
20:21.9 51  55  45  150 97  72  54  50  62  50  max: 150  average 10: 68  average total: 60
20:21.10 63 50  58  54  45  48  58  52  51  57  max: 63  average 10: 53  average total: 60
20:21.10 54 50  51  46  151 98  72  59  45  59  max: 151  average 10: 68  average total: 60
20:21.11 148    98  83  61  45  54  45  47  59  150 max: 150  average 10: 79  average total: 60
20:21.11 111    95  66  56  49  62  51  59  46  57  max: 111  average 10: 65  average total: 60
20:21.12 49 57  52  58  54  51  58  67  46  58  max: 67  average 10: 55  average total: 60
20:21.12 45 47  51  52  47  60  63  45  53  45  max: 63  average 10: 50  average total: 60
20:21.13 153    102 51  52  57  52  53  55  49  62  max: 153  average 10: 68  average total: 60 0.9KB/s(in)
20:21.13 47 50  50  64  54  45  50  45  50  51  max: 64  average 10: 50  average total: 60
20:21.14 52 66  58  47  51  46  52  46  53  58  max: 66  average 10: 52  average total: 60
20:21.14 58 44  48  53  44  52  54  46  47  53  max: 58  average 10: 49  average total: 60
20:21.15 48 55  45  53  48  50  53  45  53  50  max: 55  average 10: 50  average total: 60
20:21.15 52 45  47  51  51  55  47  51  54  45  max: 55  average 10: 49  average total: 60
20:21.16 49 58  49  53  45  47  53  46  50  51  max: 58  average 10: 50  average total: 60
20:21.16 57 44  52  54  45  45  50  54  45  50  max: 57  average 10: 49  average total: 60
20:21.17 53 47  51  53  55  45  46  50  56  51  max: 56  average 10: 50  average total: 60
20:21.17 55 49  49  54  49  51  45  51  56  48  max: 56  average 10: 50  average total: 60
20:21.18 51 53  57  51  56  50  53  45  50  54  max: 57  average 10: 52  average total: 59
20:21.19 55 46  48  50  52  48  53  45  45  54  max: 55  average 10: 49  average total: 59
20:21.19 56 45  45  48  61  54  66  48  50  55  max: 66  average 10: 52  average total: 59
20:21.20 48 54  59  53  47  52  57  48  54  46  max: 59  average 10: 51  average total: 59
20:21.20 53 56  48  48  52  45  48  52  54  46  max: 56  average 10: 50  average total: 59
20:21.21 48 55  45  47  59  50  53  47  50  55  max: 59  average 10: 50  average total: 59
20:21.21 46 53  44  53  45  49  51  55  50  54  max: 55  average 10: 50  average total: 59
20:21.22 45 47  55  45  52  45  50  56  48  51  max: 56  average 10: 49  average total: 59
20:21.22 53 47  52  45  48  62  51  53  45  48  max: 62  average 10: 50  average total: 59
20:21.23 61 56  45  48  51  47  49  50  57  51  max: 61  average 10: 51  average total: 59 0.9KB/s(in)
20:21.23 45 48  53  56  44  52  45  49  56  45  max: 56  average 10: 49  average total: 59
20:21.24 49 51  52  53  56  50  55  45  50  54  max: 56  average 10: 51  average total: 59
20:21.24 45 51  56  46  49  50  55  47  50  54  max: 56  average 10: 50  average total: 59
20:21.25 45 52  57  48  66  53  47  50  52  57  max: 66  average 10: 52  average total: 59
20:21.25 49 54  45  49  55  45  46  50  54  46  max: 55  average 10: 49  average total: 59
20:21.26 53 47  50  53  45  47  53  47  50  55  max: 55  average 10: 50  average total: 59
20:21.26 45 48  54  45  51  46  51  52  55  44  max: 55  average 10: 49  average total: 59
20:21.27 49 57  47  55  57  50  53  47  54  46  max: 57  average 10: 51  average total: 59
20:21.27 52 55  46  48  55  49  53  54  65  52  max: 65  average 10: 52  average total: 59
20:21.28 46 51  55  47  47  50  53  48  50  59  max: 59  average 10: 50  average total: 59
20:21.29 45 161 110 86  45  54  211 192 142 116 max: 211  average 10: 116  average total: 59
20:21.29 212    197 148 119 96  78  61  54  55  61  max: 212  average 10: 108  average total: 59
20:21.30 70 68  91  95  100 92  97  243 196 144 max: 243  average 10: 119  average total: 59
20:21.30 122    241 196 149 246 192 142 91  92  80  max: 246  average 10: 155  average total: 60
20:21.31 267    215 163 169 152 130 116 194 140 88  max: 267  average 10: 163  average total: 60
20:21.31 81 84  75  79  69  62  63  55  57  50  max: 84  average 10: 67  average total: 60
20:21.32 55 57  45  47  53  55  45  46  50  60  max: 60  average 10: 51  average total: 60
20:21.32 58 48  52  45  64  57  57  49  50  52  max: 64  average 10: 53  average total: 60
20:21.33 64 56  48  51  53  55  50  55  56  46  max: 64  average 10: 53  average total: 60 0.9KB/s(in)
20:21.33 48 51  45  50  56  45  46  65  47  51  max: 65  average 10: 50  average total: 60
20:21.34 46 50  53  46  46  62  56  48  51  45  max: 62  average 10: 50  average total: 60
20:21.34 50 54  48  54  45  49  52  57  48  55  max: 57  average 10: 51  average total: 60
20:21.35 48 63  48  48  50  53  46  46  50  45  max: 63  average 10: 49  average total: 60
20:21.35 49 52  45  52  47  50  57  52  45  49  max: 57  average 10: 49  average total: 60
20:21.36 56 46  51  47  51  46  52  46  49  52  max: 56  average 10: 49  average total: 60
20:21.36 45 49  52  51  55  45  49  54  46  49  max: 55  average 10: 49  average total: 60
20:21.37 55 49  51  55  50  54  49  50  47  52  max: 55  average 10: 51  average total: 60
20:21.37 54 47  52  55  47  51  46  51  57  49  max: 57  average 10: 50  average total: 60
20:21.38 55 47  49  55  44  48  53  54  45  48  max: 55  average 10: 49  average total: 60
20:21.39 57 49  60  49  51  54  47  51  46  49  max: 60  average 10: 51  average total: 60
20:21.39 55 46  50  56  45  46  48  48  49  54  max: 56  average 10: 49  average total: 60
20:21.40 45 53  55  47  47  50  51  55  45  47  max: 55  average 10: 49  average total: 60
20:21.40 48 52  67  44  48  58  64  53  46  49  max: 67  average 10: 52  average total: 60
20:21.41 55 45  52  57  46  52  54  44  52  44  max: 57  average 10: 50  average total: 60
20:21.41 51 45  50  46  53  45  51  44  49  50  max: 53  average 10: 48  average total: 60
20:21.42 60 54  45  46  52  45  51  58  50  53  max: 60  average 10: 51  average total: 60
20:21.42 59 51  54  47  53  47  52  46  49  54  max: 59  average 10: 51  average total: 59
20:21.43 48 55  47  52  45  53  56  46  49  49  max: 56  average 10: 50  average total: 59
20:21.43 50 52  44  48  51  53  45  52  64  48  max: 64  average 10: 50  average total: 59 0.9KB/s(in)
20:21.44 55 49  51  53  57  48  53  45  50  69  max: 69  average 10: 53  average total: 59
20:21.44 45 49  53  58  46  50  52  45  45  51  max: 58  average 10: 49  average total: 59
20:21.45 56 50  53  45  54  45  50  53  46  52  max: 56  average 10: 50  average total: 59
20:21.45 46 50  61  44  51  52  58  49  56  45  max: 61  average 10: 51  average total: 59
20:21.46 52 44  44  150 99  49  51  53  46  57  max: 150  average 10: 64  average total: 59
20:21.46 56 50  54  46  53  53  58  49  76  57  max: 76  average 10: 55  average total: 59
20:21.47 46 49  54  47  50  53  51  51  56  45  max: 56  average 10: 50  average total: 59
20:21.47 51 45  51  56  50  51  51  58  50  57  max: 58  average 10: 52  average total: 59
20:21.48 47 50  45  51  45  57  49  62  57  54  max: 62  average 10: 51  average total: 59
20:21.49 53 63  486 438 386 337 283 233 186 133 max: 486  average 10: 259  average total: 60
20:21.49 132    117 97  220 168 117 250 195 143 132 max: 250  average 10: 157  average total: 60
20:21.50 110    102 343 334 331 280 229 372 320 270 max: 372  average 10: 269  average total: 61
20:21.50 394    992 940 887 835 783 728 675 625 572 max: 992  average 10: 743  average total: 64
20:21.51 521    470 420 366 315 262 209 178 135 136 max: 521  average 10: 301  average total: 65
20:21.51 140    144 144 145 142 142 146 136 144 258 max: 258  average 10: 154  average total: 65
20:21.52 210    157 103 94  123 104 106 109 116 226 max: 226  average 10: 134  average total: 65
20:21.52 175    190 202 217 221 233 248 195 208 209 max: 248  average 10: 209  average total: 66
20:21.53 223    228 242 266 268 258 276 277 279 290 max: 290  average 10: 260  average total: 66
20:21.54 292    307 313 260 269 273 276 292 294 310 max: 313  average 10: 288  average total: 67 0.9KB/s(in)
20:21.54 302    307 309 314 318 320 325 339 341 288 max: 341  average 10: 316  average total: 68
20:21.55 279    283 287 288 289 292 294 295 286 290 max: 295  average 10: 288  average total: 69
20:21.55 290    290 293 282 288 235 238 229 230 237 max: 293  average 10: 261  average total: 70
20:21.56 229    238 233 235 228 235 227 230 222 228 max: 238  average 10: 230  average total: 70
20:21.56 218    167 171 157 155 158 150 157 146 139 max: 218  average 10: 161  average total: 70
20:21.57 144    136 130 132 125 118 122 68  59  51  max: 144  average 10: 108  average total: 71
20:21.57 57 53  61  53  58  60  55  67  48  55  max: 67  average 10: 56  average total: 71
20:21.57 53 44  49  53  65  50  56  58  50  53  max: 65  average 10: 53  average total: 71
20:21.58 63 54  87  78  52  56  64  62  74  46  max: 87  average 10: 63  average total: 70
20:21.59 48 56  45  54  48  54  45  59  57  50  max: 59  average 10: 51  average total: 70
20:21.59 53 185 137 87  82  68  64  173 121 74  max: 185  average 10: 104  average total: 71
20:22.0 64  82  74  77  71  506 451 407 355 302 max: 506  average 10: 238  average total: 71
20:22.0 248 198 143 92  94  96  98  104 106 113 max: 248  average 10: 129  average total: 71
20:22.1 117 125 126 130 253 204 209 155 176 317 max: 317  average 10: 181  average total: 72
20:22.1 268 294 309 333 362 415 416 451 464 491 max: 491  average 10: 380  average total: 73
20:22.2 518 529 557 502 532 547 568 584 621 626 max: 626  average 10: 558  average total: 74
